intial,intial2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,"Grand Total"
26,06:15-06:30,0.02,0.39,0.68,0.09,0.09,0.40,0.42,0.32,0.10,1.50,0.29,0.46,0.32,0.85,0.04,0.65,0.48,0.23,1.32,0.38,0.59,0.11,0.62,0.06,0.08,0.52,0.21,0.51,0.03,0.23,0.04,0.10,0.04,0.40,2.75,3.90,2.45,33.71,11.29,23.76,5.79,8.45,2.33,13.87,9.37,5.49,0.00,1.44,0.00,0.00,0.00,0.50,1.95,0.00,0.28,0.00,1.79,8.28,5.73,4.19,0.15,0.00,7.44,9.97,0.00,0.38,0.60,0.44,0.24,0.00,0.61,0.23,5.03,1.42,0.14,2.16,0.26,0.03,0.32,0.46,1.10,0.17,0.23,0.03,191.30
27,06:30-06:45,0.13,0.78,1.31,0.26,0.42,1.81,0.76,0.83,0.66,3.06,1.23,1.28,0.58,1.77,0.27,2.53,1.21,0.85,2.65,1.15,2.25,0.82,1.68,0.29,0.32,1.05,0.80,1.05,0.21,0.50,0.49,0.64,0.18,2.06,2.75,3.90,2.45,33.71,11.13,20.65,5.75,7.20,2.33,15.41,8.69,6.05,0.52,2.11,0.00,0.36,0.52,2.09,3.12,0.00,0.39,0.47,1.78,7.79,5.73,4.20,0.99,0.00,7.23,9.97,0.00,1.08,1.61,1.00,1.08,0.00,1.36,0.90,5.04,4.33,0.58,2.17,0.59,0.23,0.72,1.55,1.61,0.80,0.55,0.20,228.57
28,06:45-07:00,0.31,1.19,2.16,0.43,0.90,3.88,1.26,1.56,1.55,4.78,2.59,2.21,1.07,3.28,0.66,5.14,2.10,1.71,3.76,2.15,4.56,1.67,3.14,0.62,0.65,1.77,1.63,1.43,0.50,0.84,1.34,1.29,0.39,4.56,2.75,3.90,2.45,28.71,10.97,18.25,5.71,7.20,2.33,16.07,8.11,6.61,1.05,2.77,1.77,1.20,2.10,4.71,4.53,2.56,0.50,1.86,1.79,7.12,5.73,4.18,2.32,0.15,7.74,9.98,0.16,1.93,2.55,1.77,2.31,0.37,2.42,2.03,5.03,8.10,1.32,2.16,1.04,0.50,1.19,2.96,2.12,1.72,0.91,0.49,283.28
29,07:00-07:15,0.53,1.46,3.05,0.60,1.46,6.28,1.79,2.44,2.61,6.51,4.16,3.20,1.44,5.13,0.97,8.13,2.82,2.69,5.47,3.27,7.20,2.62,4.23,1.00,1.03,2.44,2.59,2.48,0.85,1.20,2.32,1.99,0.56,7.50,2.75,3.90,2.45,31.71,10.81,16.53,5.66,7.20,2.33,12.51,7.90,7.18,1.65,4.06,3.49,2.60,4.73,7.86,6.15,4.43,0.87,4.63,1.80,6.26,5.73,4.20,3.91,1.40,8.06,10.00,0.62,2.67,4.08,3.25,3.73,3.58,3.78,3.60,5.03,12.32,2.35,2.16,1.64,0.81,1.40,4.06,3.31,2.46,1.30,0.84,357.77
30,07:15-07:30,0.74,1.95,4.03,0.78,2.06,8.85,2.41,3.54,3.69,8.72,5.84,3.23,1.72,7.50,1.29,11.32,3.95,3.72,7.69,4.44,10.00,3.58,6.02,1.41,1.43,3.46,3.60,3.79,1.23,1.61,3.14,2.72,0.74,10.66,2.75,3.90,2.45,28.71,10.65,14.62,5.62,7.20,2.33,10.47,7.61,7.74,2.41,5.35,4.67,4.27,8.04,11.58,17.36,5.75,1.44,6.59,1.79,6.11,5.73,4.19,5.63,2.65,8.40,9.97,1.20,3.64,5.86,4.72,5.25,6.55,6.07,6.59,5.06,16.71,3.67,2.16,2.84,1.97,1.80,5.33,4.53,3.24,1.87,1.20,447.10
31,07:30-07:45,0.94,2.46,4.23,0.92,2.68,11.51,3.08,5.28,4.69,10.30,7.56,4.36,2.15,10.61,1.67,15.04,5.31,5.09,10.55,5.68,12.23,4.79,8.38,1.83,1.84,4.81,9.23,5.17,1.59,1.57,4.08,3.75,0.95,13.25,2.75,4.29,2.45,33.88,6.60,6.00,2.92,7.20,2.80,6.00,6.39,6.85,3.26,6.63,6.71,5.96,11.69,14.93,21.09,6.76,1.67,8.40,1.79,5.97,5.73,4.18,7.39,3.93,8.15,10.00,1.51,4.95,8.04,6.20,6.82,9.22,8.82,10.31,5.04,20.60,6.40,2.17,3.85,2.81,2.31,6.82,5.42,4.14,2.26,1.53,529.17
32,07:45-08:00,1.15,2.99,5.39,1.12,3.30,14.19,4.33,6.85,5.75,12.37,9.30,5.47,2.58,13.79,2.10,17.99,6.54,6.17,14.38,6.95,14.34,5.99,11.05,2.25,2.26,5.91,10.47,6.83,1.94,1.89,5.14,4.50,1.19,15.78,2.75,4.29,2.45,35.88,6.60,6.00,2.97,7.20,2.80,6.25,6.41,6.86,4.11,7.91,7.91,7.17,13.96,19.02,24.82,7.96,1.89,9.93,1.80,3.46,5.73,4.20,8.90,5.24,8.46,9.97,2.58,5.96,9.88,7.68,8.37,11.70,11.62,14.27,5.02,24.39,8.42,2.16,5.57,3.53,2.86,8.40,6.31,5.11,2.81,1.88,623.67
33,08:00-08:15,1.37,3.52,6.52,1.32,3.92,16.72,5.07,8.56,6.87,13.46,11.03,6.57,3.02,16.22,2.55,21.17,7.90,7.29,17.81,8.24,17.30,6.70,13.04,2.67,2.67,7.08,11.30,8.20,2.32,2.33,6.28,5.47,1.43,18.40,2.75,4.29,2.45,33.88,6.60,6.00,3.02,7.20,2.80,6.00,6.00,6.88,5.05,9.19,9.09,9.23,18.37,21.92,28.49,9.07,2.31,9.93,1.79,3.45,5.73,4.18,10.47,6.57,8.63,5.00,2.87,7.54,11.05,8.94,9.90,14.18,13.44,18.41,5.01,28.29,10.99,2.16,7.25,4.22,3.32,10.08,7.55,6.15,3.37,2.27,707.65
34,08:15-08:30,1.60,4.04,7.62,1.52,4.53,19.17,5.76,9.93,8.01,15.48,12.73,7.56,3.44,18.69,3.02,23.27,9.35,8.28,20.58,9.49,19.92,7.81,15.70,3.08,3.07,8.57,12.29,9.21,2.70,2.76,7.49,6.27,1.69,21.09,2.75,4.29,2.45,35.88,6.60,6.00,3.07,7.20,2.80,6.00,6.00,6.89,5.84,10.47,9.95,11.90,20.78,25.06,32.17,10.28,2.56,10.92,1.78,3.44,5.73,4.20,12.07,7.91,6.00,4.97,3.36,8.46,11.89,10.20,11.43,16.83,15.92,22.32,5.03,31.91,13.63,2.17,12.35,4.42,4.03,11.83,8.77,7.26,3.68,2.66,799.83
35,08:30-08:45,1.84,4.54,8.74,1.72,5.11,21.58,6.43,11.72,9.12,17.48,14.38,8.99,3.86,20.56,3.50,25.43,10.79,9.31,22.79,10.45,22.62,8.90,17.57,3.46,3.45,10.14,13.30,10.36,3.07,3.19,8.73,7.34,1.96,23.82,2.75,4.29,2.45,36.88,7.15,6.00,3.12,7.20,2.80,6.00,6.00,6.90,6.61,11.74,10.86,15.80,23.58,28.12,34.57,11.25,2.77,11.88,1.79,3.50,5.73,4.19,13.66,9.25,6.00,5.00,3.94,8.91,12.84,11.46,12.94,19.65,18.35,26.10,5.04,35.59,16.06,2.16,17.58,5.29,4.59,13.60,10.00,8.41,3.95,3.05,893.60
36,08:45-09:00,2.07,4.99,9.66,1.90,5.64,23.90,7.06,12.77,10.17,19.43,15.98,10.19,4.26,21.59,3.98,28.76,12.00,10.45,24.29,11.33,25.16,9.97,19.55,3.82,3.81,10.84,13.58,11.21,3.43,3.68,9.98,8.40,2.23,26.56,2.75,4.29,2.45,33.88,7.80,6.00,3.17,7.20,2.80,6.00,6.00,6.92,7.34,13.02,11.50,23.55,26.32,30.94,35.92,5.65,2.98,12.63,1.80,3.47,5.75,4.20,15.24,10.56,6.00,4.97,4.08,9.97,13.61,11.98,14.37,22.45,32.28,29.76,5.06,39.34,22.25,2.16,22.93,5.79,5.13,15.32,11.21,9.59,4.21,3.44,988.67
37,09:00-09:15,2.30,5.43,9.53,2.07,6.15,25.26,6.82,12.14,11.11,19.77,16.07,10.50,4.65,22.31,4.37,32.27,12.15,10.70,23.55,12.32,26.39,10.49,12.15,4.15,4.15,10.98,14.82,11.30,3.22,3.94,7.44,9.31,1.96,32.67,2.50,4.29,2.23,36.05,8.28,6.00,2.40,6.00,2.80,6.00,5.00,3.73,8.00,14.09,12.24,28.65,28.71,33.78,36.64,6.58,3.29,9.59,1.79,3.46,5.73,4.19,15.02,11.83,8.26,4.97,4.99,9.26,14.27,12.48,13.29,25.03,34.77,33.01,5.02,42.95,26.80,2.16,17.06,2.15,5.62,11.95,12.63,11.23,4.55,3.49,1017.25
38,09:15-09:30,2.50,5.78,10.29,2.21,6.62,26.90,7.16,12.60,11.96,21.06,16.93,11.50,4.94,22.92,4.96,34.17,12.46,11.52,22.34,13.38,28.52,11.42,13.97,4.46,4.48,12.21,15.12,11.55,3.58,4.13,8.21,10.29,2.14,34.57,2.50,4.29,2.23,38.05,9.56,6.00,2.40,6.00,2.80,6.00,5.00,3.39,8.60,15.17,12.67,32.55,35.26,30.50,37.40,8.25,3.59,10.16,1.78,3.45,5.73,4.18,16.42,13.03,8.09,5.00,5.47,10.13,14.82,12.97,14.51,27.27,37.91,36.05,5.06,45.96,22.27,2.16,18.42,2.66,6.07,13.33,14.04,11.90,5.17,3.91,1076.98
39,09:30-09:45,2.69,6.09,11.36,2.33,7.06,28.38,7.49,12.52,12.70,22.28,18.11,12.45,5.22,23.95,5.08,36.14,12.75,12.04,22.68,14.14,30.56,12.09,15.65,4.76,4.78,12.67,15.44,11.77,3.74,4.21,8.67,11.09,2.29,36.63,2.50,4.29,2.23,41.05,10.85,6.00,2.40,6.00,2.80,6.00,5.00,3.05,11.03,16.25,7.99,36.89,44.25,32.37,38.21,9.25,3.88,10.33,1.79,3.44,5.73,4.20,17.79,14.13,7.77,4.97,5.19,11.19,15.18,13.44,15.75,29.20,39.34,39.05,5.02,48.95,24.99,2.16,22.16,3.25,6.50,14.54,15.45,12.54,5.77,4.14,1146.06
40,09:45-10:00,2.86,6.39,12.26,2.44,7.35,30.30,7.80,12.03,13.34,23.46,19.34,12.44,5.47,23.71,5.26,37.36,12.96,12.81,22.17,14.90,31.98,12.73,18.03,5.03,5.06,12.95,15.42,12.36,4.06,4.88,9.63,11.85,2.43,38.33,2.50,4.29,2.23,41.05,12.13,6.00,2.40,6.00,2.80,6.00,5.00,2.71,11.50,17.32,8.30,36.82,58.19,34.32,39.08,10.20,4.15,10.85,1.80,3.47,5.73,4.19,19.18,15.11,6.00,4.96,5.47,12.26,15.65,13.91,16.68,30.93,39.63,40.35,5.03,52.00,27.69,2.16,22.40,3.93,6.49,15.69,16.86,13.48,6.35,4.45,1205.08
41,10:00-10:15,3.00,6.66,13.11,2.53,7.35,31.18,8.09,12.98,13.89,24.57,19.80,13.64,5.70,23.14,5.84,38.75,13.09,13.34,22.14,15.43,33.96,13.34,21.12,5.29,5.33,13.21,15.54,12.95,4.01,5.08,10.17,12.57,2.59,39.27,2.50,4.29,2.23,35.05,13.42,6.00,2.40,6.00,2.80,6.00,5.00,2.37,12.30,18.08,9.26,37.57,62.17,38.67,39.22,12.65,4.36,11.79,1.79,3.46,5.73,4.18,20.13,15.97,6.00,4.96,5.73,12.41,15.88,13.90,17.49,32.49,39.73,41.25,5.04,55.06,30.34,2.17,25.74,4.63,7.02,16.21,17.59,13.92,6.92,4.73,1253.26
42,10:15-10:30,3.11,6.91,13.87,2.65,7.35,31.68,8.21,14.41,14.36,26.31,20.50,14.07,5.92,25.87,5.89,39.88,13.30,13.97,22.76,15.82,34.62,14.19,20.66,5.53,5.58,13.33,15.78,12.63,4.25,5.24,10.49,13.11,2.73,40.72,2.50,4.29,2.23,37.05,14.70,6.00,2.40,6.00,2.80,6.00,5.00,2.03,11.53,18.85,9.26,37.90,65.29,39.64,39.48,12.32,4.56,11.93,1.78,3.47,5.73,4.20,21.17,16.68,6.00,5.00,6.45,13.66,15.98,13.95,18.33,33.84,38.46,42.25,5.06,56.89,32.92,2.16,26.30,5.34,7.55,17.39,18.31,14.44,7.30,4.85,1292.92
43,10:30-10:45,3.20,7.13,14.89,2.69,7.35,35.64,8.32,13.57,14.80,28.01,19.43,15.37,6.12,24.50,6.66,39.66,13.40,15.26,25.63,17.87,35.23,15.14,23.77,5.74,5.81,13.75,15.70,13.64,5.30,5.44,8.65,13.75,3.37,42.20,2.50,4.68,2.23,28.71,10.02,7.20,2.40,7.20,2.56,5.00,5.68,2.38,12.23,19.61,10.54,37.80,67.06,41.29,39.85,13.79,4.77,11.91,1.79,3.49,5.75,4.17,22.97,17.25,6.00,4.97,6.19,14.44,14.61,14.05,21.00,34.91,37.63,42.18,5.01,58.55,35.27,2.16,31.20,5.98,7.93,21.74,19.06,15.18,7.66,6.01,1333.55
44,10:45-11:00,3.26,7.34,15.46,2.73,7.35,36.44,8.43,14.07,15.20,29.66,20.07,15.64,6.31,24.75,6.74,40.14,12.25,15.67,25.12,18.14,36.02,16.05,22.81,5.94,6.02,13.87,15.94,14.02,5.34,5.44,8.97,14.10,3.48,43.78,2.50,4.68,2.23,34.71,10.30,7.20,2.40,7.20,2.56,5.00,5.67,2.16,12.94,20.37,10.25,38.37,71.49,41.62,40.32,13.78,4.99,13.37,1.80,3.47,5.73,4.16,23.43,17.68,6.00,5.00,6.39,12.89,14.65,14.21,21.46,35.70,36.60,42.18,5.02,60.35,37.11,2.16,33.13,6.57,8.15,22.08,19.78,15.32,7.99,6.11,1365.78
45,11:00-11:15,3.29,7.53,15.87,2.75,7.35,36.94,8.54,13.63,15.59,31.25,20.09,15.58,6.48,27.11,6.88,40.88,12.21,15.74,25.76,18.28,36.76,16.92,22.85,6.11,6.21,14.06,15.99,14.17,5.43,5.66,9.14,14.40,3.44,43.83,2.50,4.68,2.23,28.71,10.59,7.20,2.40,7.20,2.56,5.00,5.50,1.95,13.16,20.75,11.35,38.20,71.76,41.45,40.20,13.72,5.00,12.82,1.79,3.50,5.73,4.18,24.19,17.98,6.00,4.96,6.52,14.20,14.96,14.07,21.86,36.24,36.63,42.18,5.03,62.11,42.35,2.17,37.40,6.90,8.49,22.31,20.15,15.47,8.30,6.13,1387.45
46,11:15-11:30,3.30,7.44,16.02,2.81,7.35,37.11,8.25,13.68,15.96,31.65,20.38,15.99,6.45,27.75,6.82,41.27,13.06,16.02,27.34,18.49,37.68,17.34,23.46,6.25,6.37,14.05,16.03,14.02,5.38,5.87,9.59,14.90,3.50,44.23,2.50,4.68,2.23,29.71,10.87,7.20,2.40,7.20,2.56,5.00,5.50,1.94,13.38,21.13,12.55,38.63,74.69,41.62,40.21,14.05,5.02,12.85,1.79,3.47,5.73,4.20,24.21,18.16,6.00,5.00,6.59,14.33,15.09,14.01,21.86,36.60,37.28,42.18,5.04,59.57,42.63,2.16,38.67,6.34,8.63,22.50,20.51,15.65,8.50,6.19,1404.62
47,11:30-11:45,3.29,7.33,16.07,2.84,7.35,36.94,7.99,12.32,16.31,31.96,20.57,16.13,6.41,26.55,6.94,41.22,12.45,16.11,27.57,18.14,38.03,17.49,22.42,6.37,6.49,14.03,15.90,14.02,5.28,5.87,9.78,15.37,3.53,44.03,2.50,4.68,2.23,32.71,11.15,7.20,2.40,7.20,2.56,5.00,5.50,1.94,13.60,21.51,12.09,38.71,76.74,41.75,40.35,13.85,5.06,13.27,1.80,3.46,5.73,4.18,24.64,18.26,6.00,4.97,6.66,14.14,15.43,14.00,22.05,36.83,38.70,42.19,5.06,56.99,42.45,2.16,39.43,6.33,8.49,22.45,20.86,15.94,8.67,6.29,1409.26
48,11:45-12:00,3.25,7.19,16.48,2.87,7.35,36.41,7.74,11.24,16.63,32.19,20.58,16.34,6.37,26.27,6.87,41.87,12.40,16.16,27.18,17.80,37.78,17.60,21.52,6.37,6.58,14.00,16.05,14.00,5.22,5.63,10.09,15.81,3.52,43.96,2.50,4.68,2.23,28.71,11.44,7.20,2.40,7.20,2.56,5.00,5.50,1.94,13.82,21.89,12.03,30.25,59.74,41.92,40.61,13.68,5.12,13.27,1.79,3.50,5.73,4.20,24.78,18.30,6.00,5.00,6.74,13.93,15.74,14.06,21.97,36.96,40.43,42.19,5.02,54.28,42.33,2.16,39.36,6.33,8.72,22.49,21.22,15.55,8.84,6.29,1378.92
